ID Ciudad,y,x1,x2,x3,x4,x5
1,10,213,582,6,7.05,36
2,13,91,132,8.2,48.52,100
3,12,453,716,8.7,20.66,67
4,17,454,515,9,12.95,86
5,56,412,158,9,43.37,127
6,36,80,80,9,40.25,114
7,29,434,757,9.3,38.89,111
8,14,136,529,8.8,54.47,116
9,10,207,335,9,59.8,128
10,24,368,497,9.1,48.34,115
11,110,3344,3369,10.4,34.44,122
12,28,361,746,9.7,38.74,121
13,17,104,201,11.2,30.85,103
14,8,125,277,12.7,30.58,82
15,30,291,593,8.3,43.11,123
16,9,204,361,8.4,56.77,113
17,47,625,905,9.6,41.31,111
18,35,1064,1513,10.1,30.96,129
19,29,699,744,10.6,25.94,137
20,14,381,507,10,37,99
21,56,775,622,9.5,35.89,105
22,14,181,347,10.9,30.18,98
23,11,46,244,8.9,7.77,58
24,46,44,116,8.8,33.36,135
25,11,391,463,12.4,36.11,166
26,23,462,453,7.1,39.04,132
27,65,1007,751,10.9,34.99,155
28,26,266,540,8.6,37.01,134
29,69,1692,1950,9.6,39.93,115
30,61,347,520,9.4,36.22,147
31,94,343,179,10.6,42.75,125
32,10,337,624,9.2,49.1,105
33,18,275,448,7.9,46,119
34,9,641,844,10.9,35.94,78
35,10,721,1233,10.8,48.19,103
36,28,137,176,8.7,15.17,89
37,31,96,308,10.6,44.68,116
38,26,197,299,7.6,42.59,115